Unnamed: 0,title,author
196,공정하다는 착각 : 능력주의는 모두에게 같은 기회를 제공하는가,마이클 샌델
197,"엔드 오브 타임 : 브라이언 그린이 말하는 세상의 시작과 진화, 그리고 끝",브라이언 그린
198,우리 역사 속 전염병 : 왕실의 운명과 백성의 인생을 뒤흔든 치명적인 흔적,신병주
199,사는 게 불안한 사람들을 위한 철학 수업 : 어렵고 힘들수록 철학이 답이다,존 셀라스
200,인생의 태도 : 행복한 이기주의자로 평생 살아보니 알게 된 것들,웨인 다이어
201,우리는 조구만 존재야,조구만 스튜디오
202,이토록 뜻밖의 뇌과학 : 뇌가 당신에 관해 말할 수 있는 7과 1/2가지 진실,리사 펠드먼 배럿
203,마음챙김 : 마음은 삶을 어디까지 바꿀 수 있을까,엘렌 랭어
204,위험한 숫자들 : 숫자는 어떻게 진실을 왜곡하는가,사너 블라우
205,당신의 인생을 정리해드립니다 : 삶이 바뀌는 신박한 정리,이지영
206,"(서울 자가에 대기업 다니는) 김 부장 이야기. 1, 김 부장 편",송희구
207,"(서울 자가에 대기업 다니는) 김 부장 이야기. 3, 송 과장 편",송희구
208,이건희 컬렉션 : 내 손안의 도슨트북,SUN 도슨트
209,나는 이렇게 세 딸을 하버드에 보냈다,심활경
210,봄은 언제나 찾아온다 : 노르망디에서 데이비드 호크니로부터,데이비드 호크니
211,내 방식대로 삽니다 : 남인숙의 쇼핑 심리 에세이,남인숙
212,완전한 행복 : 정유정 장편소설,정유정
213,뉴욕에 살고 있습니다 : 유튜버 하루데이가 기록한 낭만적인 도시 풍경,하루
214,도서관 런웨이 : 윤고은 장편소설,윤고은
215,(비전공자도 이해할 수 있는) AI 지식 : 카카오·현대자동차 AI팀장이 들려주는 세상에서 가장 쓸모 있는 IT 안내서,박상길
216,(이어령의) 책 한 권에 담긴 뜻,이어령
217,재난 인류 : 위기의 순간마다 답을 찾았던 인간의 생존 연대기,송병건
218,돈의 사이클 : 불황에 공부하고 호황에 버는 반복의 법칙,이재범(핑크팬더)
219,내 일로 건너가는 법,김민철
220,"마음이 흔들려서, 마흔인 걸 알았다 : 인생 항로를 잃어버린 엄마들을 위한 단단한 마음 철학",김선호
221,오늘도 우울증을 검색한 나에게,김한준
222,아직 오지 않은 날들을 위하여 : 세계적 지성이 전하는 나이듦의 새로운 태도,파스칼 브뤼크네르
223,삶이 던지는 질문은 언제나 같다 : 시대의 지성 찰스 핸디가 전하는 삶의 철학,찰스 핸디
224,노사이드 게임,이케이도 준
225,넬라의 비밀 약방 : 사라 페너 장편소설,사라 페너
226,나는 나의 밤을 떠나지 않는다 : 아니 에르노 장편소설,아니 에르노
227,이어령의 마지막 수업,김지수
228,리시안셔스 : 연여름 소설집,연여름
229,"내 문장이 그렇게 이상한가요? : 내가 쓴 글, 내가 다듬는 법",김정선
230,나는 4시간만 일한다 : 디지털 노마드 시대 완전히 새로운 삶의 방식,팀 페리스
231,어메이징 브루클린,제임스 맥브라이드
232,"돈이란 무엇인가 : 앙드레 코스톨라니의 1,000가지 돈을 다루는 방법",앙드레 코스톨라니
233,"아무튼, 메모 : 이것으로 나의 내일이 만들어질 것이다",정혜윤
234,기묘한 신혼여행,히가시노 게이고
235,부의 본능 : 슈퍼리치가 되는 9가지 방법,브라운스톤
236,부의 추월차선 : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,엠제이 드마코
237,(0~7세까지 아이의 상상을 넓히고 생각의 깊이를 결정짓는) 엄마의 어휘력,표유진
238,NAVER blog.ZIP : 세상에서 가장 쉬운 네이버 블로그 글쓰기,수상한 노마드
239,더 시스템 = The system : 거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법,스콧 애덤스
240,고양이 서점 : 사쿠마 가오루 만화,사쿠마 가오루
241,"아무튼, 여름",김신회
242,다큐하는 마음 : 양희 인터뷰집,양희
243,당신은 결국 무엇이든 해내는 사람 : 김상현 에세이,김상현
244,세계사를 바꾼 10가지 약,사토 겐타로
245,(다모다란의) 투자 전략 바이블 : 당신을 현혹하는 투자 전략의 허와 실,애스워드 다모다란
246,덧니가 보고 싶어 : 정세랑 장편소설,정세랑
247,정성스럽게 혼자 삽니다 : 좁아도 바빠도 돈이 없어도 가능한 미니멀 라이프,Shoko
248,한국의 능력주의 = K-Meritocracy : 한국인이 기꺼이 참거나 죽어도 못 참는 것에 대하여,박권일
249,(식객 허영만의)백반기행 : 식객이 뽑은 진짜 맛집 200,허영만
250,"물고기는 존재하지 않는다 : 상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러
251,약탈자들 : 폭력은 빈곤을 먹고 자란다,게리 하우겐
252,모국어는 차라리 침묵 : 목정원 산문,목정원
253,땅콩일기,쩡찌
254,땅콩일기. 2,쩡찌
255,(처음 읽는) 식물의 세계사 : 인간의 문명을 정복한 식물 이야기,리처드 메이비
256,"메타버스 = Metaverse : 디지털 지구, 뜨는 것들의 세상",김상균
257,우리말 어감사전 : 말의 속뜻을 잘 이해하고 표현하는 법,안상순
258,"여자 둘이 살고 있습니다 : 혼자도 결혼도 아닌, 조립식 가족의 탄생",김하나
259,매일 읽는 헨리 데이비드 소로,헨리 데이비드 소로
260,나의 최소 취향 이야기 : 내 삶의 균형을 찾아가는 취향 수집 에세이,신미경
261,명랑한 은둔자,캐럴라인 냅
262,"빌트, 우리가 지어 올린 모든 것들의 과학 : 그림과 원리로 읽는 건축학 수업",로마 아그라왈
263,소크라테스 익스프레스 : 철학이 우리 인생에 스며드는 순간,에릭 와이너
264,우리가 빛의 속도로 갈 수 없다면 : 김초엽 소설,김초엽
265,천 개의 파랑 : 천선란 장편소설,천선란
266,우리는 이 별을 떠나기로 했어,천선란
267,내가 행복한 이유,그렉 이건
268,"루팡의 딸. 2, 루팡의 귀환",요코제키 다이
